Id,Label,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,pageranks,componentnumber,strongcompnum,stat_inf_class,clustering
retórico,,1,1,2,1,1,2,13,0.157651,0.161598,5193.222222,0.000109,0,0.000071,0,1,18,0
simbólico,,1,1,2,1,1,2,12,0.187116,0.193602,5193.222222,0,0.000014,0.000089,0,1,18,0
imagem,,2,2,4,2,2,4,11,0.230126,0.242319,15691.443462,0.000404,0.001414,0.000145,0,1,18,0
direito,,27,37,64,37,37,74,10,0.297079,0.324761,213101.438907,0.039659,0.064706,0.001305,0,1,16,0.056831
defesa,,53,42,95,69,69,138,10,0.296891,0.324804,385777.59036,0.100273,0.074538,0.002851,0,1,78,0.072863
permanecer,,5,5,10,5,5,10,11,0.248476,0.264152,25158.807228,0.003436,0.003904,0.000229,0,1,38,0.011111
problema,,7,7,14,7,7,14,11,0.23475,0.248212,6676.123481,0.002089,0.002883,0.000294,0,1,38,0.076923
convidado,,2,2,4,2,2,4,12,0.194418,0.201738,7924.711489,0.001391,0.000001,0.000104,0,1,24,0
cono,,1,1,2,1,1,2,12,0.217543,0.227818,1513.854196,0,0.000611,0.000073,0,1,24,0
respeito,,90,74,164,132,132,264,10,0.327429,0.362685,848750.126441,0.149837,0.135058,0.003934,0,1,5,0.046426
haja,,6,6,12,6,6,12,11,0.235283,0.247935,26253.65196,0.006088,0.001524,0.000312,0,1,30,0.118182
interrupção,,3,3,6,3,3,6,11,0.249771,0.265159,10284.189151,0.000867,0.004855,0.000165,0,1,30,0.033333
cortar,,2,2,4,2,2,4,12,0.207846,0.216672,1067.527574,0.000887,0.000057,0.000111,0,1,30,0.166667
implicar,,1,1,2,1,1,2,12,0.218111,0.228525,104.889986,0.000173,0.002451,0.000076,0,1,30,0
haver,,1,1,2,1,1,2,13,0.177036,0.182587,2396.857959,0.00093,0.000051,0.000071,0,1,14,0
tipo,,6,6,12,6,6,12,12,0.215093,0.225361,53389.190392,0.001432,0.001011,0.000422,0,1,14,0
prorrogação,,2,2,4,2,2,4,12,0.202837,0.211267,928.893023,0.000068,0.000927,0.000184,0,1,14,0
mesma,,5,3,8,5,5,10,11,0.227617,0.239751,10694.894978,0.00252,0.002447,0.000298,0,1,76,0.017857
independente,,3,3,6,3,3,6,12,0.235348,0.249077,11351.83276,0.001189,0.003329,0.000187,0,1,38,0
expressar,,4,4,8,4,4,8,11,0.245926,0.261093,3525.105521,0.008536,0.007326,0.000214,0,1,23,0.089286
posição,,35,35,70,40,40,80,11,0.290705,0.315473,223445.348895,0.049566,0.044965,0.001658,0,1,57,0.051787
Presidente,,60,78,138,94,94,188,10,0.31467,0.348348,605685.053804,0.085322,0.112964,0.003074,0,1,51,0.043241
afirmou,,2,2,4,2,2,4,12,0.221405,0.232056,681.618782,0.005214,0.000564,0.000068,0,1,21,0
entendimento,,5,5,10,5,5,10,11,0.233933,0.246387,23308.355743,0.007395,0.002414,0.000284,0,1,21,0.011111
deve,,11,11,22,11,11,22,11,0.251177,0.268293,42355.31113,0.009586,0.007597,0.000518,0,1,22,0.030303
